# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2014;685684;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2015;700476;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2016;718806;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2017;756822;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2018;794302;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2019;832344;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2020;873570;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2021;926802;
12561032;Património dos particulares - Património total;Valor;Milhões de euros;31/12/2022;978976;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1980;26520;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1981;33844;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1982;41329;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1983;53137;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1984;66802;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1985;82570;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1986;93980;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1987;105812;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1988;125140;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1989;145529;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1990;170686;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1991;198386;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1992;224092;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1993;243388;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1994;262431;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1995;285724;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1996;295756;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1997;313978;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1998;337633;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/1999;360734;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2000;386261;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2001;405714;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2002;419001;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2003;436636;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2004;462763;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2005;484077;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2006;511474;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2007;528119;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2008;539001;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2009;547576;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2010;557295;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2011;527921;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2012;504542;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2013;504707;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2014;521050;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2015;537705;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2016;558531;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2017;595553;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2018;632662;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2019;669758;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2020;706731;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2021;755815;
12561033;Património dos particulares - Património total líquido;Valor;Milhões de euros;31/12/2022;800908;
